module,lesson,lesson_file,f_out,package,pkg_version
Day 1,github_collaboration,/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library/lhLessons/lessons/github_collaboration.qmd,/Users/caseyohara/github/2026_delta_week2/./s01_github_collaboration.qmd,lhLessons,2024.11.07
Day 1,r_data_visualization,/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library/lhLessons/lessons/r_data_visualization.qmd,/Users/caseyohara/github/2026_delta_week2/./s02_r_data_visualization.qmd,lhLessons,2024.11.07
Day 1,blank_placeholder,/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library/lhLessons/lessons/blank_placeholder.qmd,/Users/caseyohara/github/2026_delta_week2/./s03_blank_placeholder.qmd,lhLessons,2024.11.07
Day 1,blank_placeholder,/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library/lhLessons/lessons/blank_placeholder.qmd,/Users/caseyohara/github/2026_delta_week2/./s08_blank_placeholder.qmd,lhLessons,2024.11.07
Day 1,blank_placeholder,/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library/lhLessons/lessons/blank_placeholder.qmd,/Users/caseyohara/github/2026_delta_week2/./s09_blank_placeholder.qmd,lhLessons,2024.11.07
Day 1,github_publishing,/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library/lhLessons/lessons/github_publishing.qmd,/Users/caseyohara/github/2026_delta_week2/./s04_github_publishing.qmd,lhLessons,2024.11.07
Day 1,r_geospatial_vector_analysis,/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library/lhLessons/lessons/r_geospatial_vector_analysis.qmd,/Users/caseyohara/github/2026_delta_week2/./s05_r_geospatial_vector_analysis.qmd,lhLessons,2024.11.07
Day 1,r_functions,/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library/lhLessons/lessons/r_functions.qmd,/Users/caseyohara/github/2026_delta_week2/./s06_r_functions.qmd,lhLessons,2024.11.07
Day 1,r_packages,/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library/lhLessons/lessons/r_packages.qmd,/Users/caseyohara/github/2026_delta_week2/./s07_r_packages.qmd,lhLessons,2024.11.07
Day 1,blank_placeholder,/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library/lhLessons/lessons/blank_placeholder.qmd,/Users/caseyohara/github/2026_delta_week2/./s03_blank_placeholder.qmd,lhLessons,2024.11.07
Day 1,blank_placeholder,/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library/lhLessons/lessons/blank_placeholder.qmd,/Users/caseyohara/github/2026_delta_week2/./s08_blank_placeholder.qmd,lhLessons,2024.11.07
Day 1,blank_placeholder,/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library/lhLessons/lessons/blank_placeholder.qmd,/Users/caseyohara/github/2026_delta_week2/./s09_blank_placeholder.qmd,lhLessons,2024.11.07
Day 1,blank_placeholder,/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library/lhLessons/lessons/blank_placeholder.qmd,/Users/caseyohara/github/2026_delta_week2/./s03_blank_placeholder.qmd,lhLessons,2024.11.07
Day 1,blank_placeholder,/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library/lhLessons/lessons/blank_placeholder.qmd,/Users/caseyohara/github/2026_delta_week2/./s08_blank_placeholder.qmd,lhLessons,2024.11.07
Day 1,blank_placeholder,/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library/lhLessons/lessons/blank_placeholder.qmd,/Users/caseyohara/github/2026_delta_week2/./s09_blank_placeholder.qmd,lhLessons,2024.11.07
